date,market_name,market_lat,market_lon,commodity,modal_price,arrivals_qty
2023-01-01,Delhi_Mandi,28.6,77.2,Tomato,1812.8580449129186,274
2023-01-01,Delhi_Mandi,28.6,77.2,Onion,2307.6490228013745,356
2023-01-01,Delhi_Mandi,28.6,77.2,Potato,2059.871422631527,519
2023-01-01,Mumbai_Mandi,19.0,72.8,Tomato,2280.8583535929656,287
2023-01-01,Mumbai_Mandi,19.0,72.8,Onion,1852.6626976594355,627
2023-01-01,Mumbai_Mandi,19.0,72.8,Potato,1920.8732461899785,549
2023-01-01,Pune_Mandi,18.5,73.8,Tomato,2582.016969583575,299
2023-01-01,Pune_Mandi,18.5,73.8,Onion,1844.3270152824196,255
2023-01-01,Pune_Mandi,18.5,73.8,Potato,2359.1259604797574,518
2023-01-02,Delhi_Mandi,28.6,77.2,Tomato,2296.9745971584684,236
2023-01-02,Delhi_Mandi,28.6,77.2,Onion,1908.182963394108,608
2023-01-02,Delhi_Mandi,28.6,77.2,Potato,1640.7132095420463,176
2023-01-02,Mumbai_Mandi,19.0,72.8,Tomato,2279.1839421841837,427
2023-01-02,Mumbai_Mandi,19.0,72.8,Onion,1820.214685897906,222
2023-01-02,Mumbai_Mandi,19.0,72.8,Potato,1933.8642523798853,353
2023-01-02,Pune_Mandi,18.5,73.8,Tomato,1739.709694217239,957
2023-01-02,Pune_Mandi,18.5,73.8,Onion,1764.3991752166864,513
2023-01-02,Pune_Mandi,18.5,73.8,Potato,1885.129467983448,513
2023-01-03,Delhi_Mandi,28.6,77.2,Tomato,1841.100922758754,261
2023-01-03,Delhi_Mandi,28.6,77.2,Onion,1669.1361380950696,212
2023-01-03,Delhi_Mandi,28.6,77.2,Potato,2029.8700483962166,468
2023-01-03,Mumbai_Mandi,19.0,72.8,Tomato,2740.664909486642,331
2023-01-03,Mumbai_Mandi,19.0,72.8,Onion,2226.8180797497075,439
2023-01-03,Mumbai_Mandi,19.0,72.8,Potato,1729.920037927726,515
2023-01-03,Pune_Mandi,18.5,73.8,Tomato,1927.2637301312916,761
2023-01-03,Pune_Mandi,18.5,73.8,Onion,1970.0946205522507,960
2023-01-03,Pune_Mandi,18.5,73.8,Potato,1879.9494538936176,770
2023-01-04,Delhi_Mandi,28.6,77.2,Tomato,1829.290554778442,741
2023-01-04,Delhi_Mandi,28.6,77.2,Onion,2416.7065483514393,896
2023-01-04,Delhi_Mandi,28.6,77.2,Potato,2513.6998822482183,137
2023-01-04,Mumbai_Mandi,19.0,72.8,Tomato,1861.2975690936337,908
2023-01-04,Mumbai_Mandi,19.0,72.8,Onion,1845.141318282156,593
2023-01-04,Mumbai_Mandi,19.0,72.8,Potato,1993.1991625190253,967
2023-01-04,Pune_Mandi,18.5,73.8,Tomato,1671.6739769128603,961
2023-01-04,Pune_Mandi,18.5,73.8,Onion,2300.523995430799,126
2023-01-04,Pune_Mandi,18.5,73.8,Potato,1333.3793899146913,122
2023-01-05,Delhi_Mandi,28.6,77.2,Tomato,2266.1004609001566,307
2023-01-05,Delhi_Mandi,28.6,77.2,Onion,1795.4863236044523,474
2023-01-05,Delhi_Mandi,28.6,77.2,Potato,2405.2175915252215,498
2023-01-05,Mumbai_Mandi,19.0,72.8,Tomato,1986.543619643863,827
2023-01-05,Mumbai_Mandi,19.0,72.8,Onion,1604.5591935224188,620
2023-01-05,Mumbai_Mandi,19.0,72.8,Potato,1918.890877099988,846
2023-01-05,Pune_Mandi,18.5,73.8,Tomato,1548.496038445489,774
2023-01-05,Pune_Mandi,18.5,73.8,Onion,2229.1903846552705,331
2023-01-05,Pune_Mandi,18.5,73.8,Potato,2217.0242100091705,817
2023-01-06,Delhi_Mandi,28.6,77.2,Tomato,2271.2187849329807,328
2023-01-06,Delhi_Mandi,28.6,77.2,Onion,1603.6007409318458,477
2023-01-06,Delhi_Mandi,28.6,77.2,Potato,1644.1253415806902,471
2023-01-06,Mumbai_Mandi,19.0,72.8,Tomato,2165.811523902161,348
2023-01-06,Mumbai_Mandi,19.0,72.8,Onion,2312.6025148932868,910
2023-01-06,Mumbai_Mandi,19.0,72.8,Potato,1811.0471369953725,852
2023-01-06,Pune_Mandi,18.5,73.8,Tomato,2576.404077073376,314
